Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
What is 197.52 - 182.62?,23.51,14.26,15.47,14.9,D) 14.9,197.52 - 182.62 = 14.9.,Math,Decimals
"If 8x + 46 = 174, what is the value of x?",16,9,10,20,A) 16,8x + 46 = 174 → 8x = 128 → x = 128 ÷ 8 = 16.,Math,Algebra
What is 319.46 - 226.61?,92.85,96.05,102.81,90.79,A) 92.85,319.46 - 226.61 = 92.85.,Math,Decimals
"What is the average of 187, 144, 169, 151, 177, 162?",165,177,180,170,A) 165,Sum = 990. Average = 990 ÷ 6 = 165.,Math,Averages
What is 550 ÷ 10?,55,58,47,48,A) 55,"550 ÷ 10 = 55, since 10 × 55 = 550.",Math,Basic Math
What is 4/8 + 4/8 in simplest form?,8/8,2,1,1,C) 1,"4/8 + 4/8 = 8/8, which simplifies to 1.",Math,Fractions
"What is the average of 142, 171, 193, 14?",133,119,130,143,C) 130,Sum = 520. Average = 520 ÷ 4 = 130.,Math,Averages
"What is the average of 74, 144, 184?",136,135,133,134,D) 134,Sum = 402. Average = 402 ÷ 3 = 134.,Math,Averages
What is 784 ÷ 14?,43,64,68,56,D) 56,"784 ÷ 14 = 56, since 14 × 56 = 784.",Math,Basic Math
What is 327.1 + 287.18?,621.29,614.28,619.16,609.64,B) 614.28,327.1 + 287.18 = 614.28.,Math,Decimals
What is 260.26 - 87.11?,173.15,169.4,176.84,180.02,A) 173.15,260.26 - 87.11 = 173.15.,Math,Decimals
What is √1444?,34,42,38,39,C) 38,"√1444 = 38, because 38×38 = 1444.",Math,Mathematical Operations
What is 150 ÷ 5?,30,24,25,32,A) 30,"150 ÷ 5 = 30, since 5 × 30 = 150.",Math,Basic Math
"What is the average of 200, 137, 94, 61, 98, 64?",109,107,94,95,A) 109,Sum = 654. Average = 654 ÷ 6 = 109.,Math,Averages
A number multiplied by 4 gives 124. What is the number?,27,34,31,25,C) 31,Let the number be x. 4x = 124 → x = 124 ÷ 4 = 31.,Math,Equations
What is 10 × 33?,330,379,279,311,A) 330,10 × 33 = 330.,Math,Basic Math
"If 13x + 27 = 547, what is the value of x?",40,42,46,38,A) 40,13x + 27 = 547 → 13x = 520 → x = 520 ÷ 13 = 40.,Math,Algebra
A number multiplied by 8 gives 72. What is the number?,5,2,9,12,C) 9,Let the number be x. 8x = 72 → x = 72 ÷ 8 = 9.,Math,Equations
"What is the average of 69, 22, 168, 76, 122, 71?",82,74,88,105,C) 88,Sum = 528. Average = 528 ÷ 6 = 88.,Math,Averages
₹39 is divided between two people in the ratio 9:4. What is the first person's share?,25,30,27,28,C) 27,Total parts = 9+4 = 13. One part = 39÷13 = 3. First share = 9×3 = 27.,Math,Ratios
"What is the average of 133, 44, 21?",68,66,78,76,B) 66,Sum = 198. Average = 198 ÷ 3 = 66.,Math,Averages
₹50 is divided between two people in the ratio 3:2. What is the first person's share?,36,30,34,26,B) 30,Total parts = 3+2 = 5. One part = 50÷5 = 10. First share = 3×10 = 30.,Math,Ratios
What is 186.09 - 125.89?,65.61,56.08,60.2,64.23,C) 60.2,186.09 - 125.89 = 60.2.,Math,Decimals
What is 405.28 - 20.62?,384.66,383.74,389.7,389.52,A) 384.66,405.28 - 20.62 = 384.66.,Math,Decimals
Is 107584 a perfect square?,Cannot be determined,Only for even n,Yes,No,C) Yes,"107584 = 328 × 328, so it is a perfect square.",Math,Number System
What is 4838 + 4488?,9326,9704,10368,9768,A) 9326,4838 + 4488 = 9326.,Math,Basic Math
What is 39 × 16?,706,527,647,624,D) 624,39 × 16 = 624.,Math,Basic Math
What is 41 × 6?,286,271,226,246,D) 246,41 × 6 = 246.,Math,Basic Math
₹115 is divided between two people in the ratio 12:11. What is the first person's share?,47,53,56,60,D) 60,Total parts = 12+11 = 23. One part = 115÷23 = 5. First share = 12×5 = 60.,Math,Ratios
A number multiplied by 7 gives 546. What is the number?,82,75,74,78,D) 78,Let the number be x. 7x = 546 → x = 546 ÷ 7 = 78.,Math,Equations
What is 374.18 + 154.96?,529.14,530.93,528.13,536.41,A) 529.14,374.18 + 154.96 = 529.14.,Math,Decimals
"What is the average of 169, 47, 3, 173, 63?",80,102,85,91,D) 91,Sum = 455. Average = 455 ÷ 5 = 91.,Math,Averages
What is 169.9 - 88.1?,84.57,78.46,89.62,81.8,D) 81.8,169.9 - 88.1 = 81.8.,Math,Decimals
What is 2/20 + 7/20 in simplest form?,10/20,8/20,9/20,9/20,C) 9/20,"2/20 + 7/20 = 9/20, which simplifies to 9/20.",Math,Fractions
₹128 is divided between two people in the ratio 7:9. What is the first person's share?,54,61,56,68,C) 56,Total parts = 7+9 = 16. One part = 128÷16 = 8. First share = 7×8 = 56.,Math,Ratios
What is 363.18 + 393.48?,756.66,760.6,766.11,754.91,A) 756.66,363.18 + 393.48 = 756.66.,Math,Decimals
What is 463.67 - 92.84?,376.6,370.83,372.38,366.77,B) 370.83,463.67 - 92.84 = 370.83.,Math,Decimals
What is 46.2 + 357.33?,410.29,408.0,403.53,402.78,C) 403.53,46.2 + 357.33 = 403.53.,Math,Decimals
"If 6x + 10 = 154, what is the value of x?",32,31,24,26,C) 24,6x + 10 = 154 → 6x = 144 → x = 144 ÷ 6 = 24.,Math,Algebra
What is 23.0 + 47.53?,68.1,73.14,70.53,80.24,C) 70.53,23.0 + 47.53 = 70.53.,Math,Decimals
What is 198.16 + 489.28?,688.99,687.44,694.41,686.65,B) 687.44,198.16 + 489.28 = 687.44.,Math,Decimals
"If 2x + 58 = 78, what is the value of x?",2,5,7,10,D) 10,2x + 58 = 78 → 2x = 20 → x = 20 ÷ 2 = 10.,Math,Algebra
What is 496.38 - 300.59?,195.79,203.67,198.31,193.01,A) 195.79,496.38 - 300.59 = 195.79.,Math,Decimals
What is 4% of 400?,16,17,15,19,A) 16,4% of 400 = (4/100) × 400 = 16.,Math,Percentages
What is 4/5 + 2/5 in simplest form?,5/5,6/5,6/5,7/5,B) 6/5,"4/5 + 2/5 = 6/5, which simplifies to 6/5.",Math,Fractions
Is 4306 an even or odd number?,Both,Odd,Even,Neither,C) Even,"4306 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
Is 9422 an even or odd number?,Neither,Odd,Both,Even,D) Even,"9422 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
What is 4146 + 2004?,5801,6566,6150,6911,C) 6150,4146 + 2004 = 6150.,Math,Basic Math
Is 3110 an even or odd number?,Odd,Neither,Both,Even,D) Even,"3110 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
"What is the average of 107, 95, 54, 196, 18?",89,94,102,106,B) 94,Sum = 470. Average = 470 ÷ 5 = 94.,Math,Averages
"What is the average of 129, 157, 113, 47, 139?",101,114,112,117,D) 117,Sum = 585. Average = 585 ÷ 5 = 117.,Math,Averages
"If 4x + 53 = 97, what is the value of x?",17,15,11,16,C) 11,4x + 53 = 97 → 4x = 44 → x = 44 ÷ 4 = 11.,Math,Algebra
Is 7354 an even or odd number?,Even,Both,Neither,Odd,A) Even,"7354 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
What is 6/12 + 7/12 in simplest form?,13/12,12/12,14/12,13/12,A) 13/12,"6/12 + 7/12 = 13/12, which simplifies to 13/12.",Math,Fractions
What is 3/5 + 2/5 in simplest form?,1,1,5/5,2,A) 1,"3/5 + 2/5 = 5/5, which simplifies to 1.",Math,Fractions
"If 14x + 37 = 681, what is the value of x?",46,44,42,40,A) 46,14x + 37 = 681 → 14x = 644 → x = 644 ÷ 14 = 46.,Math,Algebra
What is 8471 - 1194?,7210,6553,6412,7277,D) 7277,8471 - 1194 = 7277.,Math,Basic Math
A number multiplied by 5 gives 360. What is the number?,77,68,78,72,D) 72,Let the number be x. 5x = 360 → x = 360 ÷ 5 = 72.,Math,Equations
What is 193.71 + 399.88?,591.4,602.23,595.4,593.59,D) 593.59,193.71 + 399.88 = 593.59.,Math,Decimals
"What is the average of 118, 150, 43, 109, 70, 110?",100,110,88,115,A) 100,Sum = 600. Average = 600 ÷ 6 = 100.,Math,Averages
Is 6041 an even or odd number?,Even,Neither,Both,Odd,D) Odd,"6041 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
Is 751689 a perfect square?,Only for even n,Yes,No,Cannot be determined,B) Yes,"751689 = 867 × 867, so it is a perfect square.",Math,Number System
₹66 is divided between two people in the ratio 9:2. What is the first person's share?,54,63,43,51,A) 54,Total parts = 9+2 = 11. One part = 66÷11 = 6. First share = 9×6 = 54.,Math,Ratios
What is 6287 - 2232?,4315,3636,4141,4055,D) 4055,6287 - 2232 = 4055.,Math,Basic Math
Is 273 a prime number?,No,Only for even numbers,Yes,Cannot be determined,A) No,"273 is divisible by 3, so it is not a prime number.",Math,Number System
What is 4/15 + 2/15 in simplest form?,3/5,6/15,1/5,2/5,D) 2/5,"4/15 + 2/15 = 6/15, which simplifies to 2/5.",Math,Fractions
₹138 is divided between two people in the ratio 13:10. What is the first person's share?,72,64,93,78,D) 78,Total parts = 13+10 = 23. One part = 138÷23 = 6. First share = 13×6 = 78.,Math,Ratios
What is 8337 + 6432?,14769,13002,13273,16576,A) 14769,8337 + 6432 = 14769.,Math,Basic Math
"What is the average of 8, 120, 90, 74?",83,80,84,73,D) 73,Sum = 292. Average = 292 ÷ 4 = 73.,Math,Averages
What is 347.29 - 58.68?,291.36,296.71,288.61,284.46,C) 288.61,347.29 - 58.68 = 288.61.,Math,Decimals
What is 3/7 + 6/7 in simplest form?,9/7,10/7,9/7,8/7,A) 9/7,"3/7 + 6/7 = 9/7, which simplifies to 9/7.",Math,Fractions
What is 393.7 - 148.8?,253.82,244.9,243.87,245.83,B) 244.9,393.7 - 148.8 = 244.9.,Math,Decimals
₹10 is divided between two people in the ratio 1:4. What is the first person's share?,0,1,4,2,D) 2,Total parts = 1+4 = 5. One part = 10÷5 = 2. First share = 1×2 = 2.,Math,Ratios
What is 313.02 + 221.31?,531.58,537.94,534.33,540.26,C) 534.33,313.02 + 221.31 = 534.33.,Math,Decimals
₹115 is divided between two people in the ratio 15:8. What is the first person's share?,61,73,75,81,C) 75,Total parts = 15+8 = 23. One part = 115÷23 = 5. First share = 15×5 = 75.,Math,Ratios
What is 35% of 200?,70,76,74,82,A) 70,35% of 200 = (35/100) × 200 = 70.,Math,Percentages
₹76 is divided between two people in the ratio 10:9. What is the first person's share?,40,48,43,44,A) 40,Total parts = 10+9 = 19. One part = 76÷19 = 4. First share = 10×4 = 40.,Math,Ratios
"What is the average of 6, 158, 199?",121,97,144,117,A) 121,Sum = 363. Average = 363 ÷ 3 = 121.,Math,Averages
"If 3x + 64 = 151, what is the value of x?",25,32,31,29,D) 29,3x + 64 = 151 → 3x = 87 → x = 87 ÷ 3 = 29.,Math,Algebra
₹35 is divided between two people in the ratio 5:2. What is the first person's share?,25,24,21,19,A) 25,Total parts = 5+2 = 7. One part = 35÷7 = 5. First share = 5×5 = 25.,Math,Ratios
What is 439.95 - 49.66?,390.93,399.86,390.29,388.97,C) 390.29,439.95 - 49.66 = 390.29.,Math,Decimals
What is 7733 + 3059?,10792,10303,9542,11308,A) 10792,7733 + 3059 = 10792.,Math,Basic Math
"What is the average of 166, 180, 191, 139?",184,161,142,169,D) 169,Sum = 676. Average = 676 ÷ 4 = 169.,Math,Averages
"If 5x + 28 = 228, what is the value of x?",38,40,44,47,B) 40,5x + 28 = 228 → 5x = 200 → x = 200 ÷ 5 = 40.,Math,Algebra
"What is the average of 152, 141, 151, 4?",125,102,100,112,D) 112,Sum = 448. Average = 448 ÷ 4 = 112.,Math,Averages
Is 4496 an even or odd number?,Odd,Neither,Both,Even,D) Even,"4496 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
"What is the average of 59, 133, 99?",87,80,97,110,C) 97,Sum = 291. Average = 291 ÷ 3 = 97.,Math,Averages
What is 1792 ÷ 28?,64,60,77,69,A) 64,"1792 ÷ 28 = 64, since 28 × 64 = 1792.",Math,Basic Math
Is 314721 a perfect square?,Cannot be determined,Only for even n,No,Yes,D) Yes,"314721 = 561 × 561, so it is a perfect square.",Math,Number System
A number multiplied by 7 gives 434. What is the number?,57,54,62,67,C) 62,Let the number be x. 7x = 434 → x = 434 ÷ 7 = 62.,Math,Equations
What is 7446 + 8460?,14194,14904,15906,16075,C) 15906,7446 + 8460 = 15906.,Math,Basic Math
What is 12% of 180?,18,23,24,21.6,D) 21.6,12% of 180 = (12/100) × 180 = 21.6.,Math,Percentages
"If 10x + 39 = 59, what is the value of x?",8,2,9,6,B) 2,10x + 39 = 59 → 10x = 20 → x = 20 ÷ 10 = 2.,Math,Algebra
What is 5072 - 4781?,277,291,299,264,B) 291,5072 - 4781 = 291.,Math,Basic Math
Is 207936 a perfect square?,Cannot be determined,Yes,Only for even n,No,B) Yes,"207936 = 456 × 456, so it is a perfect square.",Math,Number System
"If 5x + 34 = 269, what is the value of x?",50,40,44,47,D) 47,5x + 34 = 269 → 5x = 235 → x = 235 ÷ 5 = 47.,Math,Algebra
What is 436.68 - 158.3?,277.78,278.38,283.96,278.92,B) 278.38,436.68 - 158.3 = 278.38.,Math,Decimals
What is 90% of 250?,225,237,234,205,A) 225,90% of 250 = (90/100) × 250 = 225.,Math,Percentages
"If 6x + 51 = 63, what is the value of x?",2,0,10,5,A) 2,6x + 51 = 63 → 6x = 12 → x = 12 ÷ 6 = 2.,Math,Algebra
₹100 is divided between two people in the ratio 7:3. What is the first person's share?,86,76,53,70,D) 70,Total parts = 7+3 = 10. One part = 100÷10 = 10. First share = 7×10 = 70.,Math,Ratios
What is 425.56 - 183.89?,241.67,238.02,244.4,249.56,A) 241.67,425.56 - 183.89 = 241.67.,Math,Decimals
A number multiplied by 6 gives 324. What is the number?,55,54,48,47,B) 54,Let the number be x. 6x = 324 → x = 324 ÷ 6 = 54.,Math,Equations
What is 78.07 - 70.55?,4.86,10.83,13.33,7.52,D) 7.52,78.07 - 70.55 = 7.52.,Math,Decimals
What is 446.76 - 289.64?,159.2,157.12,166.27,153.26,B) 157.12,446.76 - 289.64 = 157.12.,Math,Decimals
"If 11x + 45 = 188, what is the value of x?",13,21,8,11,A) 13,11x + 45 = 188 → 11x = 143 → x = 143 ÷ 11 = 13.,Math,Algebra
What is 9930 + 6543?,15960,17936,16617,16473,D) 16473,9930 + 6543 = 16473.,Math,Basic Math
What is 171.32 - 160.24?,11.08,14.52,16.44,6.15,A) 11.08,171.32 - 160.24 = 11.08.,Math,Decimals
Is 7512 an even or odd number?,Neither,Odd,Even,Both,C) Even,"7512 ÷ 2 leaves remainder 0, so it is an even number.",Math,Number System
"If 11x + 56 = 452, what is the value of x?",43,36,32,33,B) 36,11x + 56 = 452 → 11x = 396 → x = 396 ÷ 11 = 36.,Math,Algebra
"What is the average of 78, 51, 63?",65,61,71,64,D) 64,Sum = 192. Average = 192 ÷ 3 = 64.,Math,Averages
What is 4095 - 2186?,1909,2077,1780,1939,A) 1909,4095 - 2186 = 1909.,Math,Basic Math
What is 5984 + 5734?,12124,11871,12762,11718,D) 11718,5984 + 5734 = 11718.,Math,Basic Math
What is 343.38 - 318.93?,32.45,23.77,24.45,27.76,C) 24.45,343.38 - 318.93 = 24.45.,Math,Decimals
What is 40 × 18?,641,834,772,720,D) 720,40 × 18 = 720.,Math,Basic Math
What is 18 ÷ 2?,7,10,9,8,C) 9,"18 ÷ 2 = 9, since 2 × 9 = 18.",Math,Basic Math
"If 9x + 47 = 263, what is the value of x?",25,26,27,24,D) 24,9x + 47 = 263 → 9x = 216 → x = 216 ÷ 9 = 24.,Math,Algebra
₹90 is divided between two people in the ratio 5:13. What is the first person's share?,27,30,20,25,D) 25,Total parts = 5+13 = 18. One part = 90÷18 = 5. First share = 5×5 = 25.,Math,Ratios
What is 440.13 - 152.03?,284.52,291.36,288.1,294.62,C) 288.1,440.13 - 152.03 = 288.1.,Math,Decimals
A number multiplied by 7 gives 203. What is the number?,29,37,23,34,A) 29,Let the number be x. 7x = 203 → x = 203 ÷ 7 = 29.,Math,Equations
"What is the average of 20, 30, 10, 145, 81, 128?",65,59,69,71,C) 69,Sum = 414. Average = 414 ÷ 6 = 69.,Math,Averages
"If 5x + 80 = 270, what is the value of x?",38,43,33,34,A) 38,5x + 80 = 270 → 5x = 190 → x = 190 ÷ 5 = 38.,Math,Algebra
What is 320.67 + 130.85?,451.52,454.41,450.23,460.01,A) 451.52,320.67 + 130.85 = 451.52.,Math,Decimals
What is 12/20 + 12/20 in simplest form?,6/5,5/5,24/20,7/5,A) 6/5,"12/20 + 12/20 = 24/20, which simplifies to 6/5.",Math,Fractions
What is 490.14 + 69.9?,556.92,566.23,561.84,560.04,D) 560.04,490.14 + 69.9 = 560.04.,Math,Decimals
"If 6x + 56 = 116, what is the value of x?",6,3,10,17,C) 10,6x + 56 = 116 → 6x = 60 → x = 60 ÷ 6 = 10.,Math,Algebra
Is 354025 a perfect square?,Yes,Only for even n,No,Cannot be determined,A) Yes,"354025 = 595 × 595, so it is a perfect square.",Math,Number System
What is 7/8 + 4/8 in simplest form?,11/8,10/8,12/8,11/8,A) 11/8,"7/8 + 4/8 = 11/8, which simplifies to 11/8.",Math,Fractions
What is 2036 + 1952?,3693,3988,4321,4059,B) 3988,2036 + 1952 = 3988.,Math,Basic Math
"What is the average of 74, 61, 143, 174?",119,116,113,99,C) 113,Sum = 452. Average = 452 ÷ 4 = 113.,Math,Averages
"If 10x + 78 = 208, what is the value of x?",13,14,21,9,A) 13,10x + 78 = 208 → 10x = 130 → x = 130 ÷ 10 = 13.,Math,Algebra
₹30 is divided between two people in the ratio 1:2. What is the first person's share?,10,8,11,12,A) 10,Total parts = 1+2 = 3. One part = 30÷3 = 10. First share = 1×10 = 10.,Math,Ratios
"If 13x + 13 = 403, what is the value of x?",38,25,23,30,D) 30,13x + 13 = 403 → 13x = 390 → x = 390 ÷ 13 = 30.,Math,Algebra
What is 1485 ÷ 27?,62,48,55,56,C) 55,"1485 ÷ 27 = 55, since 27 × 55 = 1485.",Math,Basic Math
"What is the average of 132, 105, 32, 31, 120?",90,84,85,79,B) 84,Sum = 420. Average = 420 ÷ 5 = 84.,Math,Averages
What is 4/12 + 7/12 in simplest form?,11/12,11/12,12/12,10/12,A) 11/12,"4/12 + 7/12 = 11/12, which simplifies to 11/12.",Math,Fractions
What is 497.21 - 492.05?,7.29,5.16,1.85,13.32,B) 5.16,497.21 - 492.05 = 5.16.,Math,Decimals
"If 8x + 67 = 459, what is the value of x?",52,51,43,49,D) 49,8x + 67 = 459 → 8x = 392 → x = 392 ÷ 8 = 49.,Math,Algebra
What is 383.48 - 196.98?,187.45,194.27,186.5,182.58,C) 186.5,383.48 - 196.98 = 186.5.,Math,Decimals
"What is the average of 131, 160, 187, 148, 78, 100?",135,152,134,117,C) 134,Sum = 804. Average = 804 ÷ 6 = 134.,Math,Averages
"If 3x + 3 = 69, what is the value of x?",29,24,22,18,C) 22,3x + 3 = 69 → 3x = 66 → x = 66 ÷ 3 = 22.,Math,Algebra
₹42 is divided between two people in the ratio 1:6. What is the first person's share?,6,7,4,5,A) 6,Total parts = 1+6 = 7. One part = 42÷7 = 6. First share = 1×6 = 6.,Math,Ratios
What is 232.12 - 8.1?,224.02,227.36,232.26,221.57,A) 224.02,232.12 - 8.1 = 224.02.,Math,Decimals
"If 12x + 64 = 196, what is the value of x?",11,9,14,15,A) 11,12x + 64 = 196 → 12x = 132 → x = 132 ÷ 12 = 11.,Math,Algebra
"What is the average of 161, 143, 65?",140,121,107,123,D) 123,Sum = 369. Average = 369 ÷ 3 = 123.,Math,Averages
Is 202500 a perfect square?,Cannot be determined,Only for even n,Yes,No,C) Yes,"202500 = 450 × 450, so it is a perfect square.",Math,Number System
"What is the average of 167, 179, 68?",157,154,138,152,C) 138,Sum = 414. Average = 414 ÷ 3 = 138.,Math,Averages
"What is the average of 110, 4, 81, 137?",83,68,70,90,A) 83,Sum = 332. Average = 332 ÷ 4 = 83.,Math,Averages
What is 22²?,561,534,478,484,D) 484,22² = 22×22 = 484.,Math,Mathematical Operations
What is 1542 + 6581?,7831,7519,8123,7882,C) 8123,1542 + 6581 = 8123.,Math,Basic Math
What is 473.55 + 261.94?,733.47,745.12,735.49,738.73,C) 735.49,473.55 + 261.94 = 735.49.,Math,Decimals
What is 41.35 + 332.45?,373.8,377.81,381.76,368.94,A) 373.8,41.35 + 332.45 = 373.8.,Math,Decimals
What is 9551 - 6760?,2791,2721,2766,2965,A) 2791,9551 - 6760 = 2791.,Math,Basic Math
₹72 is divided between two people in the ratio 2:7. What is the first person's share?,18,16,19,17,B) 16,Total parts = 2+7 = 9. One part = 72÷9 = 8. First share = 2×8 = 16.,Math,Ratios
What is 208.47 - 192.4?,11.38,20.48,24.16,16.07,D) 16.07,208.47 - 192.4 = 16.07.,Math,Decimals
What is 2048 + 9009?,10951,11318,11057,11592,C) 11057,2048 + 9009 = 11057.,Math,Basic Math
What is 5917 - 4531?,1265,1256,1386,1372,C) 1386,5917 - 4531 = 1386.,Math,Basic Math
"What is the average of 106, 165, 147, 94?",128,110,140,151,A) 128,Sum = 512. Average = 512 ÷ 4 = 128.,Math,Averages
Is 4023 an even or odd number?,Neither,Both,Even,Odd,D) Odd,"4023 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
₹20 is divided between two people in the ratio 4:1. What is the first person's share?,15,17,16,12,C) 16,Total parts = 4+1 = 5. One part = 20÷5 = 4. First share = 4×4 = 16.,Math,Ratios
What is 3988 + 7793?,11781,10413,12678,11289,A) 11781,3988 + 7793 = 11781.,Math,Basic Math
What is 154.3 + 241.35?,403.12,398.34,392.12,395.65,D) 395.65,154.3 + 241.35 = 395.65.,Math,Decimals
"If 10x + 54 = 84, what is the value of x?",3,9,0,10,A) 3,10x + 54 = 84 → 10x = 30 → x = 30 ÷ 10 = 3.,Math,Algebra
"What is the average of 202, 64, 152, 193, 84, 133?",145,157,113,138,D) 138,Sum = 828. Average = 828 ÷ 6 = 138.,Math,Averages
A number multiplied by 6 gives 246. What is the number?,35,41,48,42,B) 41,Let the number be x. 6x = 246 → x = 246 ÷ 6 = 41.,Math,Equations
"If 10x + 16 = 266, what is the value of x?",25,19,33,26,A) 25,10x + 16 = 266 → 10x = 250 → x = 250 ÷ 10 = 25.,Math,Algebra
What is 680 ÷ 20?,41,29,32,34,D) 34,"680 ÷ 20 = 34, since 20 × 34 = 680.",Math,Basic Math
"If 11x + 43 = 340, what is the value of x?",25,33,27,34,C) 27,11x + 43 = 340 → 11x = 297 → x = 297 ÷ 11 = 27.,Math,Algebra
"If 2x + 8 = 90, what is the value of x?",36,35,41,44,C) 41,2x + 8 = 90 → 2x = 82 → x = 82 ÷ 2 = 41.,Math,Algebra
What is 8257 - 7174?,1117,1075,1083,1128,C) 1083,8257 - 7174 = 1083.,Math,Basic Math
What is 240.35 - 169.61?,69.29,70.74,78.78,72.33,B) 70.74,240.35 - 169.61 = 70.74.,Math,Decimals
What is 25 × 49?,1225,1406,1091,1031,A) 1225,25 × 49 = 1225.,Math,Basic Math
What is 7627 + 5419?,12067,12175,12706,13046,D) 13046,7627 + 5419 = 13046.,Math,Basic Math
₹150 is divided between two people in the ratio 11:4. What is the first person's share?,99,134,119,110,D) 110,Total parts = 11+4 = 15. One part = 150÷15 = 10. First share = 11×10 = 110.,Math,Ratios
Is 5785 an even or odd number?,Even,Neither,Both,Odd,D) Odd,"5785 ÷ 2 leaves remainder 1, so it is an odd number.",Math,Number System
A number multiplied by 3 gives 69. What is the number?,23,29,25,27,A) 23,Let the number be x. 3x = 69 → x = 69 ÷ 3 = 23.,Math,Equations
What is 421.76 - 259.42?,166.75,160.35,170.65,162.34,D) 162.34,421.76 - 259.42 = 162.34.,Math,Decimals
"What is the average of 133, 166, 69, 152?",125,151,130,153,C) 130,Sum = 520. Average = 520 ÷ 4 = 130.,Math,Averages
What is √729?,28,29,27,32,C) 27,"√729 = 27, because 27×27 = 729.",Math,Mathematical Operations
"What is the average of 108, 80, 28?",65,82,75,72,D) 72,Sum = 216. Average = 216 ÷ 3 = 72.,Math,Averages
"What is the average of 95, 171, 64, 127, 38?",95,118,99,103,C) 99,Sum = 495. Average = 495 ÷ 5 = 99.,Math,Averages
"What is the average of 65, 40, 141, 191, 53?",81,86,89,98,D) 98,Sum = 490. Average = 490 ÷ 5 = 98.,Math,Averages
"If 7x + 79 = 261, what is the value of x?",26,27,32,21,A) 26,7x + 79 = 261 → 7x = 182 → x = 182 ÷ 7 = 26.,Math,Algebra
What is 684 ÷ 18?,43,29,33,38,D) 38,"684 ÷ 18 = 38, since 18 × 38 = 684.",Math,Basic Math
What is 150 ÷ 3?,45,42,61,50,D) 50,"150 ÷ 3 = 50, since 3 × 50 = 150.",Math,Basic Math
What is 11/20 + 7/20 in simplest form?,18/20,10/10,8/10,9/10,D) 9/10,"11/20 + 7/20 = 18/20, which simplifies to 9/10.",Math,Fractions
A number multiplied by 5 gives 220. What is the number?,46,44,40,42,B) 44,Let the number be x. 5x = 220 → x = 220 ÷ 5 = 44.,Math,Equations
What is 539 + 9866?,10018,9431,9178,10405,D) 10405,539 + 9866 = 10405.,Math,Basic Math
A number multiplied by 8 gives 536. What is the number?,74,65,67,73,C) 67,Let the number be x. 8x = 536 → x = 536 ÷ 8 = 67.,Math,Equations
What is 7760 - 7608?,152,149,171,160,A) 152,7760 - 7608 = 152.,Math,Basic Math
"If 3x + 16 = 166, what is the value of x?",46,43,50,55,C) 50,3x + 16 = 166 → 3x = 150 → x = 150 ÷ 3 = 50.,Math,Algebra
₹136 is divided between two people in the ratio 3:14. What is the first person's share?,22,29,23,24,D) 24,Total parts = 3+14 = 17. One part = 136÷17 = 8. First share = 3×8 = 24.,Math,Ratios
"What is the average of 89, 3, 51, 160, 167?",87,94,89,83,B) 94,Sum = 470. Average = 470 ÷ 5 = 94.,Math,Averages
Is 250000 a perfect square?,Yes,Only for even n,No,Cannot be determined,A) Yes,"250000 = 500 × 500, so it is a perfect square.",Math,Number System
"If 10x + 59 = 439, what is the value of x?",32,36,43,38,D) 38,10x + 59 = 439 → 10x = 380 → x = 380 ÷ 10 = 38.,Math,Algebra
Is 988036 a perfect square?,No,Only for even n,Yes,Cannot be determined,C) Yes,"988036 = 994 × 994, so it is a perfect square.",Math,Number System
What is 185.28 + 156.13?,347.51,343.75,338.02,341.41,D) 341.41,185.28 + 156.13 = 341.41.,Math,Decimals
"If 11x + 32 = 439, what is the value of x?",35,43,41,37,D) 37,11x + 32 = 439 → 11x = 407 → x = 407 ÷ 11 = 37.,Math,Algebra
"What is the average of 60, 56, 74, 91, 69?",76,67,57,70,D) 70,Sum = 350. Average = 350 ÷ 5 = 70.,Math,Averages
"What is the average of 124, 172, 185, 77, 62?",101,138,129,124,D) 124,Sum = 620. Average = 620 ÷ 5 = 124.,Math,Averages
What is 506 ÷ 22?,25,26,19,23,D) 23,"506 ÷ 22 = 23, since 22 × 23 = 506.",Math,Basic Math
What is 9242 - 8025?,1202,1217,1132,1364,B) 1217,9242 - 8025 = 1217.,Math,Basic Math
"What is the average of 86, 189, 73?",114,116,124,110,B) 116,Sum = 348. Average = 348 ÷ 3 = 116.,Math,Averages
A number multiplied by 5 gives 295. What is the number?,59,63,52,57,A) 59,Let the number be x. 5x = 295 → x = 295 ÷ 5 = 59.,Math,Equations
"If 13x + 5 = 304, what is the value of x?",24,27,23,17,C) 23,13x + 5 = 304 → 13x = 299 → x = 299 ÷ 13 = 23.,Math,Algebra
₹45 is divided between two people in the ratio 7:2. What is the first person's share?,35,32,38,33,A) 35,Total parts = 7+2 = 9. One part = 45÷9 = 5. First share = 7×5 = 35.,Math,Ratios
