Question,Option A,Option B,Option C,Option D,Correct Answer,Solution/Explanation,Category,Subcategory
"Find the missing number in the series: 7, 19, ?, 43, 55.",32,31,20,37,B) 31,"The series increases by 12 each time, so the missing number = 19 + 12 = 31.",Number Puzzles,Missing Numbers
"In a 3×3 magic square, if one row sums to 679 and two of its numbers are 196 and 223, what is the third number?",312,286,228,260,D) 260,"Since the row total is 679, the third number = 679 - 196 - 223 = 260.",Number Puzzles,Magic Squares
"Find the next number in the series: 394, 429, 394, 429, 394, ?",429,425,426,433,A) 429,"The series alternates between 394 and 429. Since the last number is 394, the next number = 429.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 484?,Neither prime nor composite,Both prime and composite,Prime number,Composite number,D) Composite number,"484 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 141, 269, 141, 269, 141, ?",269,264,270,271,A) 269,"The series alternates between 141 and 269. Since the last number is 141, the next number = 269.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 2, 5, 8, 13, 14, ?",19,17,15,16,D) 16,"The differences between consecutive terms are 3, 3, 5, 1, increasing by 1 each time. The next difference is 2, so the next term = 14 + 2 = 16.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 201 and two of its numbers are 42 and 81, what is the third number?",73,93,81,78,D) 78,"Since the row total is 201, the third number = 201 - 42 - 81 = 78.",Number Puzzles,Magic Squares
"Find the next number in the series: 492, 490, 492, 490, 492, ?",486,490,494,493,B) 490,"The series alternates between 492 and 490. Since the last number is 492, the next number = 490.",Number Puzzles,Logic Number Puzzles
"Find the missing number in the series: 1, ?, 25, 37, 49.",23,13,24,15,B) 13,"The series increases by 12 each time, so the missing number = 1 + 12 = 13.",Number Puzzles,Missing Numbers
Which of the following best describes 2802?,Prime number,Neither prime nor composite,Composite number,Both prime and composite,C) Composite number,"2802 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 491, 495, 491, 495, 491, ?",497,496,495,492,C) 495,"The series alternates between 491 and 495. Since the last number is 491, the next number = 495.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 122, 15, 122, 15, 122, ?",11,15,18,16,B) 15,"The series alternates between 122 and 15. Since the last number is 122, the next number = 15.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 8, 9, 11, 12, 14, ?",21,16,11,17,D) 17,"The differences between consecutive terms are 1, 2, 1, 2, increasing by 1 each time. The next difference is 3, so the next term = 14 + 3 = 17.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 4, 6, 7, 8, 10, ?",8,10,13,15,C) 13,"The differences between consecutive terms are 2, 1, 1, 2, increasing by 1 each time. The next difference is 3, so the next term = 10 + 3 = 13.",Number Puzzles,Number Patterns
"Find the next number in the series: 495, 32, 495, 32, 495, ?",27,28,32,30,C) 32,"The series alternates between 495 and 32. Since the last number is 495, the next number = 32.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 1141 and two of its numbers are 364 and 397, what is the third number?",380,383,318,436,A) 380,"Since the row total is 1141, the third number = 1141 - 364 - 397 = 380.",Number Puzzles,Magic Squares
Which of the following best describes 2?,Neither prime nor composite,Both prime and composite,Composite number,Prime number,D) Prime number,"2 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
"Find the next number in the series: 332, 470, 332, 470, 332, ?",470,469,465,473,A) 470,"The series alternates between 332 and 470. Since the last number is 332, the next number = 470.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 743, 745, 747, 749, 751, ?",752,753,749,754,B) 753,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 751 + 2 = 753.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1183 and two of its numbers are 356 and 389, what is the third number?",401,438,414,455,B) 438,"Since the row total is 1183, the third number = 1183 - 356 - 389 = 438.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 272 and two of its numbers are 56 and 66, what is the third number?",143,152,180,150,D) 150,"Since the row total is 272, the third number = 272 - 56 - 66 = 150.",Number Puzzles,Magic Squares
"Find the next number in the series: 381, 177, 381, 177, 381, ?",177,180,174,175,A) 177,"The series alternates between 381 and 177. Since the last number is 381, the next number = 177.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 406, 58, 406, 58, 406, ?",63,58,62,59,B) 58,"The series alternates between 406 and 58. Since the last number is 406, the next number = 58.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 5, 10, 13, 16, 18, ?",21,27,25,22,A) 21,"The differences between consecutive terms are 5, 3, 3, 2, increasing by 1 each time. The next difference is 3, so the next term = 18 + 3 = 21.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 8, 12, 13, 16, 19, ?",24,21,30,23,D) 23,"The differences between consecutive terms are 4, 1, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 19 + 4 = 23.",Number Puzzles,Number Patterns
Which of the following best describes 1181?,Both prime and composite,Prime number,Composite number,Neither prime nor composite,B) Prime number,"1181 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
Which of the following best describes 1343?,Prime number,Composite number,Neither prime nor composite,Both prime and composite,B) Composite number,"1343 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 346, 465, 346, 465, 346, ?",470,465,469,461,B) 465,"The series alternates between 346 and 465. Since the last number is 346, the next number = 465.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 417, 101, 417, 101, 417, ?",100,97,101,103,C) 101,"The series alternates between 417 and 101. Since the last number is 417, the next number = 101.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 475, 203, 475, 203, 475, ?",203,206,202,198,A) 203,"The series alternates between 475 and 203. Since the last number is 475, the next number = 203.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 370, 230, 370, 230, 370, ?",232,231,230,229,C) 230,"The series alternates between 370 and 230. Since the last number is 370, the next number = 230.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 339, 215, 339, 215, 339, ?",216,215,214,213,B) 215,"The series alternates between 339 and 215. Since the last number is 339, the next number = 215.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 1690?,Prime number,Composite number,Both prime and composite,Neither prime nor composite,B) Composite number,"1690 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 181, 412, 181, 412, 181, ?",415,412,408,413,B) 412,"The series alternates between 181 and 412. Since the last number is 181, the next number = 412.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 3, 7, 11, 16, 20, ?",15,22,35,25,D) 25,"The differences between consecutive terms are 4, 4, 5, 4, increasing by 1 each time. The next difference is 5, so the next term = 20 + 5 = 25.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 424 and two of its numbers are 106 and 144, what is the third number?",192,169,201,174,D) 174,"Since the row total is 424, the third number = 424 - 106 - 144 = 174.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 297 and two of its numbers are 78 and 111, what is the third number?",93,95,108,105,C) 108,"Since the row total is 297, the third number = 297 - 78 - 111 = 108.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 3, 5, 8, 11, 14, ?",14,22,18,24,C) 18,"The differences between consecutive terms are 2, 3, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 14 + 4 = 18.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 6, 11, 12, 15, 17, ?",14,26,22,20,D) 20,"The differences between consecutive terms are 5, 1, 3, 2, increasing by 1 each time. The next difference is 3, so the next term = 17 + 3 = 20.",Number Puzzles,Number Patterns
"Find the missing number in the series: 11, 20, ?, 38, 47.",22,27,29,28,C) 29,"The series increases by 9 each time, so the missing number = 20 + 9 = 29.",Number Puzzles,Missing Numbers
"Find the next number in the series: 669, 671, 673, 675, 677, ?",677,679,675,683,B) 679,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 677 + 2 = 679.",Number Puzzles,Odd & Even
"Find the next number in the series: 1366, 1368, 1370, 1372, 1374, ?",1378,1372,1379,1376,D) 1376,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1374 + 2 = 1376.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 2, 7, 12, 15, 18, ?",15,21,19,22,D) 22,"The differences between consecutive terms are 5, 5, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 18 + 4 = 22.",Number Puzzles,Number Patterns
"Find the next number in the series: 418, 55, 418, 55, 418, ?",58,55,50,59,B) 55,"The series alternates between 418 and 55. Since the last number is 418, the next number = 55.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 284 and two of its numbers are 55 and 80, what is the third number?",178,124,169,149,D) 149,"Since the row total is 284, the third number = 284 - 55 - 80 = 149.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 1275 and two of its numbers are 388 and 425, what is the third number?",485,372,462,479,C) 462,"Since the row total is 1275, the third number = 1275 - 388 - 425 = 462.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 9, 10, 15, 17, 22, ?",31,28,34,29,B) 28,"The differences between consecutive terms are 1, 5, 2, 5, increasing by 1 each time. The next difference is 6, so the next term = 22 + 6 = 28.",Number Puzzles,Number Patterns
Which of the following best describes 701?,Both prime and composite,Composite number,Neither prime nor composite,Prime number,D) Prime number,"701 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
Which of the following best describes 1080?,Both prime and composite,Prime number,Neither prime nor composite,Composite number,D) Composite number,"1080 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series (differences increase by 1 each time): 5, 8, 11, 13, 15, ?",19,20,18,14,C) 18,"The differences between consecutive terms are 3, 3, 2, 2, increasing by 1 each time. The next difference is 3, so the next term = 15 + 3 = 18.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 596 and two of its numbers are 165 and 170, what is the third number?",280,277,213,261,D) 261,"Since the row total is 596, the third number = 596 - 165 - 170 = 261.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 785 and two of its numbers are 223 and 263, what is the third number?",280,299,304,340,B) 299,"Since the row total is 785, the third number = 785 - 223 - 263 = 299.",Number Puzzles,Magic Squares
"Find the next number in the series: 990, 992, 994, 996, 998, ?",997,1000,996,998,B) 1000,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 998 + 2 = 1000.",Number Puzzles,Odd & Even
Which of the following best describes 1089?,Composite number,Neither prime nor composite,Both prime and composite,Prime number,A) Composite number,"1089 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 693 and two of its numbers are 192 and 241, what is the third number?",260,259,227,223,A) 260,"Since the row total is 693, the third number = 693 - 192 - 241 = 260.",Number Puzzles,Magic Squares
"Find the missing number in the series: 15, 22, 29, ?, 43.",32,31,34,36,D) 36,"The series increases by 7 each time, so the missing number = 29 + 7 = 36.",Number Puzzles,Missing Numbers
"Find the next number in the series: 1639, 1641, 1643, 1645, 1647, ?",1649,1646,1650,1651,A) 1649,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1647 + 2 = 1649.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 2, 3, 4, 8, 11, ?",22,15,13,16,B) 15,"The differences between consecutive terms are 1, 1, 4, 3, increasing by 1 each time. The next difference is 4, so the next term = 11 + 4 = 15.",Number Puzzles,Number Patterns
"Find the next number in the series: 390, 164, 390, 164, 390, ?",162,160,168,164,D) 164,"The series alternates between 390 and 164. Since the last number is 390, the next number = 164.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 1416 and two of its numbers are 436 and 474, what is the third number?",506,527,587,571,A) 506,"Since the row total is 1416, the third number = 1416 - 436 - 474 = 506.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 1077 and two of its numbers are 348 and 367, what is the third number?",301,405,344,362,D) 362,"Since the row total is 1077, the third number = 1077 - 348 - 367 = 362.",Number Puzzles,Magic Squares
"Find the next number in the series: 357, 220, 357, 220, 357, ?",222,219,225,220,D) 220,"The series alternates between 357 and 220. Since the last number is 357, the next number = 220.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 8, 13, 18, 23, 25, ?",24,28,33,23,B) 28,"The differences between consecutive terms are 5, 5, 5, 2, increasing by 1 each time. The next difference is 3, so the next term = 25 + 3 = 28.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 6, 10, 15, 16, 17, ?",23,15,19,21,C) 19,"The differences between consecutive terms are 4, 5, 1, 1, increasing by 1 each time. The next difference is 2, so the next term = 17 + 2 = 19.",Number Puzzles,Number Patterns
"Find the next number in the series: 426, 110, 426, 110, 426, ?",111,110,114,108,B) 110,"The series alternates between 426 and 110. Since the last number is 426, the next number = 110.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 6, 8, 10, 13, 16, ?",20,28,27,25,A) 20,"The differences between consecutive terms are 2, 2, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 16 + 4 = 20.",Number Puzzles,Number Patterns
"Find the next number in the series: 301, 496, 301, 496, 301, ?",500,491,496,499,C) 496,"The series alternates between 301 and 496. Since the last number is 301, the next number = 496.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 239, 97, 239, 97, 239, ?",99,97,101,94,B) 97,"The series alternates between 239 and 97. Since the last number is 239, the next number = 97.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 760 and two of its numbers are 232 and 274, what is the third number?",254,269,248,223,A) 254,"Since the row total is 760, the third number = 760 - 232 - 274 = 254.",Number Puzzles,Magic Squares
Which of the following best describes 1351?,Prime number,Neither prime nor composite,Both prime and composite,Composite number,D) Composite number,"1351 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 939 and two of its numbers are 274 and 305, what is the third number?",308,397,360,338,C) 360,"Since the row total is 939, the third number = 939 - 274 - 305 = 360.",Number Puzzles,Magic Squares
"Find the next number in the series: 1463, 1465, 1467, 1469, 1471, ?",1473,1469,1471,1476,A) 1473,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1471 + 2 = 1473.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 85 and two of its numbers are 24 and 31, what is the third number?",35,25,30,31,C) 30,"Since the row total is 85, the third number = 85 - 24 - 31 = 30.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 476 and two of its numbers are 134 and 176, what is the third number?",162,157,176,166,D) 166,"Since the row total is 476, the third number = 476 - 134 - 176 = 166.",Number Puzzles,Magic Squares
"Find the missing number in the series: 20, 25, ?, 35, 40.",30,35,27,31,A) 30,"The series increases by 5 each time, so the missing number = 25 + 5 = 30.",Number Puzzles,Missing Numbers
"In a 3×3 magic square, if one row sums to 1144 and two of its numbers are 359 and 372, what is the third number?",358,468,413,372,C) 413,"Since the row total is 1144, the third number = 1144 - 359 - 372 = 413.",Number Puzzles,Magic Squares
"Find the next number in the series: 736, 738, 740, 742, 744, ?",742,746,750,743,B) 746,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 744 + 2 = 746.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 10, 11, 16, 17, 20, ?",31,30,19,24,D) 24,"The differences between consecutive terms are 1, 5, 1, 3, increasing by 1 each time. The next difference is 4, so the next term = 20 + 4 = 24.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 1342 and two of its numbers are 412 and 430, what is the third number?",427,598,500,569,C) 500,"Since the row total is 1342, the third number = 1342 - 412 - 430 = 500.",Number Puzzles,Magic Squares
"Find the next number in the series: 384, 150, 384, 150, 384, ?",155,146,150,145,C) 150,"The series alternates between 384 and 150. Since the last number is 384, the next number = 150.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 768, 770, 772, 774, 776, ?",781,778,780,775,B) 778,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 776 + 2 = 778.",Number Puzzles,Odd & Even
"Find the missing number in the series: 6, 9, ?, 15, 18.",12,9,14,13,A) 12,"The series increases by 3 each time, so the missing number = 9 + 3 = 12.",Number Puzzles,Missing Numbers
"Find the next number in the series: 349, 296, 349, 296, 349, ?",299,293,296,295,C) 296,"The series alternates between 349 and 296. Since the last number is 349, the next number = 296.",Number Puzzles,Logic Number Puzzles
Which of the following best describes 1973?,Composite number,Neither prime nor composite,Prime number,Both prime and composite,C) Prime number,"1973 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 746 and two of its numbers are 214 and 222, what is the third number?",309,320,267,310,D) 310,"Since the row total is 746, the third number = 746 - 214 - 222 = 310.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 2, 6, 10, 12, 14, ?",18,12,17,14,C) 17,"The differences between consecutive terms are 4, 4, 2, 2, increasing by 1 each time. The next difference is 3, so the next term = 14 + 3 = 17.",Number Puzzles,Number Patterns
"Find the next number in the series: 429, 278, 429, 278, 429, ?",282,276,277,278,D) 278,"The series alternates between 429 and 278. Since the last number is 429, the next number = 278.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 458, 467, 458, 467, 458, ?",465,469,470,467,D) 467,"The series alternates between 458 and 467. Since the last number is 458, the next number = 467.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 83, 27, 83, 27, 83, ?",32,28,26,27,D) 27,"The series alternates between 83 and 27. Since the last number is 83, the next number = 27.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 159, 278, 159, 278, 159, ?",277,281,278,282,C) 278,"The series alternates between 159 and 278. Since the last number is 159, the next number = 278.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 189, 354, 189, 354, 189, ?",350,354,357,359,B) 354,"The series alternates between 189 and 354. Since the last number is 189, the next number = 354.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 2, 6, 11, 16, 20, ?",16,17,26,25,D) 25,"The differences between consecutive terms are 4, 5, 5, 4, increasing by 1 each time. The next difference is 5, so the next term = 20 + 5 = 25.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 981 and two of its numbers are 301 and 317, what is the third number?",373,300,363,416,C) 363,"Since the row total is 981, the third number = 981 - 301 - 317 = 363.",Number Puzzles,Magic Squares
"Find the next number in the series: 363, 349, 363, 349, 363, ?",349,345,351,348,A) 349,"The series alternates between 363 and 349. Since the last number is 363, the next number = 349.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1862, 1864, 1866, 1868, 1870, ?",1870,1876,1872,1875,C) 1872,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1870 + 2 = 1872.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 1, 6, 9, 12, 16, ?",28,15,27,21,D) 21,"The differences between consecutive terms are 5, 3, 3, 4, increasing by 1 each time. The next difference is 5, so the next term = 16 + 5 = 21.",Number Puzzles,Number Patterns
Which of the following best describes 1987?,Prime number,Neither prime nor composite,Composite number,Both prime and composite,A) Prime number,"1987 has no divisors other than 1 and itself, so it is prime.",Number Puzzles,Prime Numbers
"Find the next number in the series: 383, 428, 383, 428, 383, ?",423,432,425,428,D) 428,"The series alternates between 383 and 428. Since the last number is 383, the next number = 428.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 352, 378, 352, 378, 352, ?",381,379,376,378,D) 378,"The series alternates between 352 and 378. Since the last number is 352, the next number = 378.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 1, 3, 6, 10, 15, ?",21,22,27,20,A) 21,"The differences between consecutive terms are 2, 3, 4, 5, increasing by 1 each time. The next difference is 6, so the next term = 15 + 6 = 21.",Number Puzzles,Number Patterns
"Find the next number in the series: 64, 290, 64, 290, 64, ?",292,293,290,285,C) 290,"The series alternates between 64 and 290. Since the last number is 64, the next number = 290.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 1589, 1591, 1593, 1595, 1597, ?",1596,1602,1601,1599,D) 1599,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1597 + 2 = 1599.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 1, 5, 8, 11, 13, ?",10,20,22,16,D) 16,"The differences between consecutive terms are 4, 3, 3, 2, increasing by 1 each time. The next difference is 3, so the next term = 13 + 3 = 16.",Number Puzzles,Number Patterns
"Find the next number in the series: 1736, 1738, 1740, 1742, 1744, ?",1747,1742,1743,1746,D) 1746,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1744 + 2 = 1746.",Number Puzzles,Odd & Even
Which of the following best describes 222?,Both prime and composite,Composite number,Prime number,Neither prime nor composite,B) Composite number,"222 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 526?,Prime number,Neither prime nor composite,Both prime and composite,Composite number,D) Composite number,"526 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 410, 412, 414, 416, 418, ?",420,418,422,423,A) 420,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 418 + 2 = 420.",Number Puzzles,Odd & Even
"Find the next number in the series (differences increase by 1 each time): 2, 4, 6, 10, 13, ?",13,25,17,16,C) 17,"The differences between consecutive terms are 2, 2, 4, 3, increasing by 1 each time. The next difference is 4, so the next term = 13 + 4 = 17.",Number Puzzles,Number Patterns
"Find the missing number in the series: 16, ?, 38, 49, 60.",29,24,27,30,C) 27,"The series increases by 11 each time, so the missing number = 16 + 11 = 27.",Number Puzzles,Missing Numbers
Which of the following best describes 681?,Both prime and composite,Prime number,Neither prime nor composite,Composite number,D) Composite number,"681 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1583, 1585, 1587, 1589, 1591, ?",1591,1590,1589,1593,D) 1593,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 1591 + 2 = 1593.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 788 and two of its numbers are 244 and 274, what is the third number?",221,244,270,234,C) 270,"Since the row total is 788, the third number = 788 - 244 - 274 = 270.",Number Puzzles,Magic Squares
"Find the next number in the series: 462, 422, 462, 422, 462, ?",423,422,424,418,B) 422,"The series alternates between 462 and 422. Since the last number is 462, the next number = 422.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series (differences increase by 1 each time): 10, 15, 17, 19, 21, ?",24,30,29,26,A) 24,"The differences between consecutive terms are 5, 2, 2, 2, increasing by 1 each time. The next difference is 3, so the next term = 21 + 3 = 24.",Number Puzzles,Number Patterns
"Find the next number in the series: 759, 761, 763, 765, 767, ?",766,769,770,767,B) 769,"This is a series of consecutive odd numbers, each 2 more than the last. Next number = 767 + 2 = 769.",Number Puzzles,Odd & Even
"Find the next number in the series: 78, 478, 78, 478, 78, ?",478,480,481,475,A) 478,"The series alternates between 78 and 478. Since the last number is 78, the next number = 478.",Number Puzzles,Logic Number Puzzles
"In a 3×3 magic square, if one row sums to 299 and two of its numbers are 61 and 79, what is the third number?",159,153,133,184,A) 159,"Since the row total is 299, the third number = 299 - 61 - 79 = 159.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 1, 6, 10, 13, 15, ?",19,15,24,18,D) 18,"The differences between consecutive terms are 5, 4, 3, 2, increasing by 1 each time. The next difference is 3, so the next term = 15 + 3 = 18.",Number Puzzles,Number Patterns
"Find the next number in the series (differences increase by 1 each time): 1, 3, 5, 6, 9, ?",13,16,10,17,A) 13,"The differences between consecutive terms are 2, 2, 1, 3, increasing by 1 each time. The next difference is 4, so the next term = 9 + 4 = 13.",Number Puzzles,Number Patterns
"In a 3×3 magic square, if one row sums to 627 and two of its numbers are 199 and 227, what is the third number?",201,219,166,163,A) 201,"Since the row total is 627, the third number = 627 - 199 - 227 = 201.",Number Puzzles,Magic Squares
Which of the following best describes 2587?,Prime number,Composite number,Neither prime nor composite,Both prime and composite,B) Composite number,"2587 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"In a 3×3 magic square, if one row sums to 837 and two of its numbers are 247 and 279, what is the third number?",263,371,254,311,D) 311,"Since the row total is 837, the third number = 837 - 247 - 279 = 311.",Number Puzzles,Magic Squares
Which of the following best describes 2199?,Both prime and composite,Prime number,Composite number,Neither prime nor composite,C) Composite number,"2199 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 1852, 1854, 1856, 1858, 1860, ?",1862,1860,1858,1864,A) 1862,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1860 + 2 = 1862.",Number Puzzles,Odd & Even
"Find the next number in the series: 310, 312, 314, 316, 318, ?",323,320,316,317,B) 320,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 318 + 2 = 320.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1273 and two of its numbers are 388 and 429, what is the third number?",498,512,456,452,C) 456,"Since the row total is 1273, the third number = 1273 - 388 - 429 = 456.",Number Puzzles,Magic Squares
"Find the next number in the series: 240, 202, 240, 202, 240, ?",198,197,202,204,C) 202,"The series alternates between 240 and 202. Since the last number is 240, the next number = 202.",Number Puzzles,Logic Number Puzzles
"Find the next number in the series: 8, 11, 14, 17, 20, ?",23,21,20,22,A) 23,Each term increases by 3 (an arithmetic progression). Next term = 20 + 3 = 23.,Number Puzzles,Number Series
"Find the missing number in the series: 18, ?, 40, 51, 62.",28,37,38,29,D) 29,"The series increases by 11 each time, so the missing number = 18 + 11 = 29.",Number Puzzles,Missing Numbers
"Find the next number in the series: 1780, 1782, 1784, 1786, 1788, ?",1787,1790,1793,1792,B) 1790,"This is a series of consecutive even numbers, each 2 more than the last. Next number = 1788 + 2 = 1790.",Number Puzzles,Odd & Even
"In a 3×3 magic square, if one row sums to 1454 and two of its numbers are 446 and 464, what is the third number?",544,533,514,634,A) 544,"Since the row total is 1454, the third number = 1454 - 446 - 464 = 544.",Number Puzzles,Magic Squares
"In a 3×3 magic square, if one row sums to 828 and two of its numbers are 244 and 260, what is the third number?",335,324,356,266,B) 324,"Since the row total is 828, the third number = 828 - 244 - 260 = 324.",Number Puzzles,Magic Squares
"Find the next number in the series (differences increase by 1 each time): 2, 3, 5, 8, 11, ?",14,17,15,10,C) 15,"The differences between consecutive terms are 1, 2, 3, 3, increasing by 1 each time. The next difference is 4, so the next term = 11 + 4 = 15.",Number Puzzles,Number Patterns
"Find the missing number in the series: 19, ?, 25, 28, 31.",20,22,24,25,B) 22,"The series increases by 3 each time, so the missing number = 19 + 3 = 22.",Number Puzzles,Missing Numbers
Which of the following best describes 957?,Both prime and composite,Neither prime nor composite,Prime number,Composite number,D) Composite number,"957 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 1188?,Composite number,Prime number,Both prime and composite,Neither prime nor composite,A) Composite number,"1188 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
Which of the following best describes 1282?,Both prime and composite,Composite number,Prime number,Neither prime nor composite,B) Composite number,"1282 has divisors other than 1 and itself, so it is composite.",Number Puzzles,Prime Numbers
"Find the next number in the series: 118, 96, 118, 96, 118, ?",101,96,97,95,B) 96,"The series alternates between 118 and 96. Since the last number is 118, the next number = 96.",Number Puzzles,Logic Number Puzzles
